genes,Fold.c,logCPM,F,p.val,FDR
Dnajc14,-0.113,6.644,0.68,0.4262178042391891,0.5085136002277764
Dennd2a,0.226,3.306,0.68,0.42638709318271595,0.5086579051764788
Lins,0.203,2.681,0.68,0.4264766485387135,0.5087070701170803
Ncoa6,0.137,4.659,0.679,0.42664471901102585,0.5088184466595278
Mkrn2,-0.105,4.675,0.679,0.42666672748490675,0.5088184466595278
Top1,0.143,5.947,0.678,0.42698928411562975,0.509145409263317
Rnf220,0.131,4.022,0.677,0.4272417982520186,0.5093887880133686
Selplg,-0.131,9.233,0.677,0.42732592916884704,0.5094313756252156
Btbd10,0.18,3.577,0.676,0.4275662105511885,0.5096600853681645
Tmem156,-0.236,2.271,0.675,0.42817271474413876,0.5103252324445093
Snx5,0.126,9.549,0.674,0.42824033039407394,0.5103480177504915
Atp5g1,0.176,4.661,0.673,0.42862890435448997,0.5107532511065902
Ddx56,0.087,6.368,0.672,0.42917316934529093,0.5113438927785888
Ndufs1,-0.168,5.917,0.671,0.4294736407054359,0.5116439625431113
Cmtr2,0.18,3.262,0.67,0.4295435534063896,0.511669324484428
Cyth2,0.21,2.184,0.669,0.42986515175764617,0.5119944529649928
Zcchc9,0.2,4.628,0.668,0.4302552963351921,0.5124011411651456
Tfb1m,0.182,2.597,0.667,0.43073506349309176,0.512914458881725
Inpp5k,0.12,7.23,0.666,0.4309838755857367,0.5131526728658867
Dr1,0.154,5.275,0.666,0.4311087788092647,0.5132433170505591
Erlec1,-0.145,4.48,0.665,0.431351274907659,0.5134739214766172
Klrg1,-1.096,0.343,0.668,0.4318161836117872,0.5139692003333148
Copa,-0.087,7.906,0.663,0.43190204419905287,0.5140132561758237
G3bp2,-0.094,7.118,0.661,0.4328087185862117,0.5150340546966761
Ralgapa2,0.217,3.502,0.66,0.4331114101225645,0.5153359756580446
Ubr4,-0.116,5.798,0.66,0.4332063481548877,0.5153906615753401
Ppm1b,0.201,3.443,0.659,0.4334382492875044,0.5156082633113733
Arl6ip4,-0.211,3.807,0.658,0.4337422073256655,0.5159115234190096
Nme7,0.23,2.363,0.658,0.43388532887981635,0.5160234308094832
Mrrf,0.223,3.713,0.656,0.43432557830408214,0.5164886496207318
Tmem27,-0.54,6.405,0.66,0.4344918121372857,0.5166279479232381
Pla2g4a,0.137,6.796,0.655,0.43472567246031735,0.5168445263320922
D030056L22Rik,-0.272,1.202,0.655,0.43477218921331184,0.5168445263320922
Mto1,-0.212,2.533,0.654,0.4352211368078954,0.5172816816431067
5830415F09Rik,-0.195,3.764,0.654,0.4352382409263582,0.5172816816431067
Gm11992,-0.89,1.267,0.657,0.43547111845547626,0.5175000089787664
Rad54l2,0.228,2.548,0.651,0.4359751238251055,0.518040450317478
Slc5a11,-0.361,2.63,0.65,0.43647214152018554,0.5185302517397351
Rdh13,-0.095,5.369,0.65,0.43648588519534104,0.5185302517397351
Carm1,0.156,2.859,0.65,0.4365941506872655,0.5186003214450947
Ubxn2a,-0.209,3.103,0.649,0.43671345797669425,0.5186834896488435
Mef2d,-0.119,4.757,0.648,0.4370221535510205,0.5189794310368011
Tmem208,-0.098,6.356,0.648,0.4370612674948333,0.5189794310368011
Ehf,-0.343,2.988,0.645,0.43823492518504037,0.5203143537991853
Tmed4,-0.107,7.201,0.645,0.4382968563219666,0.5203291763398076
Utp23,0.149,4.066,0.644,0.43842349265845104,0.5203859852688069
Atp9b,0.157,4.39,0.644,0.43844361355062633,0.5203859852688069
Btk,0.088,7.145,0.642,0.4391533934661219,0.5211696356652759
Rora,-0.227,3.373,0.641,0.4396170549230628,0.5216135575177131
Jak2,0.204,4.227,0.641,0.4396265933312361,0.5216135575177131
Dnajc1,-0.118,4.465,0.64,0.4399426567635385,0.5219297155718957
Kctd3,-0.217,2.251,0.639,0.44010784013425874,0.5220668246796082
Rnaset2b,-0.244,1.962,0.639,0.44027186015114295,0.522202523035446
Mon1a,-0.228,1.345,0.634,0.4419312832800576,0.5241116751894563
Sirpb1a,0.322,6.713,0.637,0.44230165008116096,0.524491803448733
Scarf1,0.384,1.425,0.632,0.44264928129901937,0.5248448886884035
Prmt6,-0.312,1.98,0.631,0.44304861648729554,0.5252591923496858
Rps6ka4,-0.161,2.381,0.631,0.4431959773655154,0.5253228757873377
Cdyl2,-0.143,4.235,0.631,0.44320217535303474,0.5253228757873377
AI317395,-0.564,2.427,0.633,0.4436944016165517,0.5258470760458356
Josd1,0.204,3.067,0.629,0.4438467035958258,0.5259683403084319
Etv3,-0.126,6.309,0.628,0.44397237995698235,0.5260580288579355
Atp5a1,-0.138,9.435,0.628,0.4443078213199213,0.5263962174903773
Rexo4,0.108,6.069,0.627,0.44461085531900346,0.5266959394936254
Spast,-0.153,4.324,0.626,0.44495142037669433,0.5270400491472258
Zmiz1,-0.087,7.11,0.625,0.44528004919968134,0.5273699445951882
Cenpc1,0.112,4.497,0.624,0.4454935955333721,0.5275634825340619
Fbxl6,-0.166,2.54,0.623,0.4458092905949226,0.5278026914254961
Tnip1,-0.093,6.697,0.623,0.445867885921995,0.5278026914254961
Gpr132,-0.156,6.072,0.623,0.44586853148488825,0.5278026914254961
Pex11b,0.159,5.345,0.623,0.44589622035281384,0.5278026914254961
Skiv2l2,-0.087,6.209,0.62,0.4469217663680203,0.528957119276873
Gdpd5,0.211,2.589,0.62,0.447094146510965,0.5290495173121403
Emg1,0.101,6.778,0.62,0.44710038557985976,0.5290495173121403
Rbl1,0.182,3.534,0.619,0.44721022595342974,0.5291199918718171
Cdk14,-0.124,5.533,0.619,0.4474790324357222,0.5293785113345817
Tmco3,-0.102,6.091,0.617,0.4479433171140189,0.5298682021122776
Rnf180,-0.179,4.787,0.616,0.4484845833356531,0.5304488333641764
Pycrl,-0.105,4.836,0.615,0.44866536278586144,0.5306030133283457
Pptc7,0.151,3.162,0.615,0.4489436056032732,0.5308724083338852
Rps6ka1,-0.098,8.013,0.614,0.449042321456426,0.530929477380446
Tmem29,0.125,3.655,0.614,0.4491792459955225,0.5310317049332528
Cept1,0.092,7.353,0.613,0.4495129680670368,0.5313665426836024
Dyrk2,-0.227,2.5,0.613,0.4496173198749781,0.5314301984774115
Stim1,0.117,4.628,0.612,0.4497841705847382,0.5315677029495958
A530040E14Rik,0.394,1.742,0.611,0.45004072977307463,0.531811184660535
Tmem150a,-0.24,2.015,0.611,0.45020654799187343,0.5319473955219497
Pik3ca,-0.134,5.06,0.61,0.45039956444211804,0.5321157086139451
Ncstn,-0.094,8.678,0.609,0.4508995745349539,0.5326466348036956
Rab22a,-0.169,4.389,0.608,0.4511467791906746,0.5328788368417856
Glipr1,-0.202,7.655,0.609,0.4513315244116026,0.5330372201328052
P2ry10,-0.772,1.505,0.611,0.45149816147913957,0.5331741839574667
Ugt1a7c,0.217,1.826,0.607,0.4516251125911984,0.5332642571585706
Pggt1b,-0.156,5.395,0.606,0.45206066089691666,0.5337186508042471
Il15ra,0.133,4.479,0.605,0.45242262994759763,0.534086081998942
Pnkd,-0.152,5.503,0.604,0.4526875234752977,0.5343388457129061
Dda1,0.198,2.758,0.603,0.45308693096469066,0.5347330009317168
Zfp870,-0.224,3.352,0.603,0.45312307985442546,0.5347330009317168
Pik3cg,-0.106,7.368,0.602,0.4533562627416088,0.5349481893731721
Toe1,-0.183,2.694,0.602,0.4534190030733415,0.5349622344815307
Tm2d3,-0.102,6.043,0.602,0.45354793214704014,0.5350543598635991
N4bp2,-0.241,3.528,0.601,0.4537659111817186,0.5352515058138353
Pdha1,-0.13,6.566,0.601,0.45385441317325226,0.535295896640006
Fance,0.231,1.665,0.6,0.45423623301752036,0.5356861907478837
Nsl1,-0.32,3.309,0.6,0.454622148624961,0.5360812270260493
Fam76a,0.158,4.107,0.598,0.45499154501645156,0.5364566978384449
Ccdc9,0.172,2.982,0.598,0.4550713721091083,0.5364907067784167
Pla2g16,0.263,4.9,0.599,0.4552443933020939,0.5366345637636311
Esf1,-0.145,5.636,0.597,0.4554116220200173,0.5367715612137816
Tmem107,-0.18,2.762,0.596,0.4557838360234707,0.5371501071200563
Cbr1,0.171,4.984,0.595,0.45593112170485306,0.5372635155319337
Dnah2,-0.273,2.146,0.594,0.4564680532210611,0.5378360009008203
Rnf121,0.158,5.253,0.593,0.45689266975708365,0.5382760371533577
Fnip1,-0.114,5.893,0.592,0.4572749319421421,0.5386660818120632
Arl6ip1,-0.104,9.53,0.59,0.45785091367055997,0.5392842136283079
Il1b,0.389,8.62,0.593,0.4581358940925573,0.5395594866856162
Larp1,-0.107,6.051,0.588,0.45859238280080994,0.5400366656460299
Becn1,-0.179,4.869,0.587,0.4590751646976762,0.5405446971146521
Mrps25,-0.097,5.53,0.586,0.45924474475899413,0.5406838721301068
Aamdc,-0.16,4.075,0.586,0.45941553814095015,0.5407802155657703
Anapc4,-0.116,5.528,0.586,0.45942935732756685,0.5407802155657703
Smad1,0.118,4.87,0.586,0.45949978980896766,0.540802627017086
Top1mt,0.19,3.212,0.585,0.4596589426001231,0.5409294400560384
Serinc3,0.161,9.889,0.583,0.46038174378480035,0.5417194554229514
Calm1,0.182,10.279,0.583,0.4605139090054955,0.54181438556181
Pde3b,-0.171,4.614,0.583,0.46060561230793573,0.5418589986796579
Gm15832,-0.241,2.865,0.583,0.4606548134741253,0.5418589986796579
Gtf2ird1,-0.439,1.519,0.582,0.46086619560229936,0.5420201776595613
Pfkfb3,-0.181,6.261,0.582,0.4608948541003284,0.5420201776595613
Clu,-0.454,7.23,0.584,0.4613110163155003,0.542448969123702
Hnrnpl,0.076,6.18,0.58,0.4614771104688944,0.5425836461971146
Rlim,0.106,6.471,0.579,0.46201680255419586,0.5431575034384765
Osgin2,0.214,2.81,0.578,0.46231855098941266,0.5434515317316342
Mapkapk5,0.15,3.161,0.577,0.4626190387487935,0.5437440125939411
1110032A03Rik,-0.147,4.259,0.577,0.46270154218044035,0.5437567996862822
Car9,0.122,4.096,0.577,0.4627332643913957,0.5437567996862822
Stk11,-0.103,4.251,0.576,0.463085521704219,0.5441099759818554
Dnajb6,-0.173,2.185,0.576,0.4632896003071246,0.5442889878343052
Rnf181,-0.085,6.669,0.573,0.46420988317345224,0.5453092878582538
Spats2,0.265,3.057,0.573,0.4643389170152452,0.5453999803272045
Myg1,-0.086,5.502,0.573,0.46448715048462186,0.5454689041379878
Maz,0.184,2.991,0.572,0.4645012686477724,0.5454689041379878
Trip12,0.107,6.469,0.572,0.46475173951214854,0.5457021373450501
Iars,-0.093,6.112,0.571,0.4652395188930619,0.5462139303036584
Lrrc8c,0.328,3.485,0.571,0.46575560055481047,0.5467588336276519
Klf6,-0.267,9.819,0.572,0.46590861639906234,0.5468164937947099
Slc7a7,0.108,6.648,0.569,0.46590864614305505,0.5468164937947099
Nf2,-0.18,4.844,0.569,0.46596597855653,0.5468227938385597
Idh3b,0.136,7.277,0.568,0.4661514055015207,0.546931373047227
Heg1,0.516,1.896,0.57,0.46617781366312827,0.546931373047227
Atmin,-0.19,3.788,0.568,0.4662144270867268,0.546931373047227
Fbp2,0.404,1.781,0.568,0.4663222925371113,0.5469969328244368
Shkbp1,-0.149,4.805,0.567,0.4666269469045471,0.5472932860317152
Stat6,0.116,8.485,0.565,0.46728885997706615,0.5480085449168246
Klc1,-0.271,1.927,0.565,0.4674261544141124,0.5481084714619684
Smim19,0.192,2.062,0.565,0.4675084676337239,0.5481439114105489
Ptpn6,-0.093,9.992,0.563,0.4680362334839552,0.5487015691791065
Hiat1,0.104,4.277,0.562,0.4685024556134906,0.5491869600557827
Tnrc18,-0.2,2.947,0.562,0.4685931540406255,0.5492320962318448
Aar2,0.13,5.823,0.561,0.4689572749007369,0.5495976616305217
Cast,0.104,5.89,0.56,0.4691547447916783,0.5497678596261504
Irak1,-0.101,5.577,0.558,0.46994213278618113,0.5506292242856012
Cyp2e1,-0.768,3.7,0.561,0.4701109880540906,0.5506990529623421
Ttc30a1,0.348,1.222,0.558,0.4701352392259398,0.5506990529623421
Zfp516,-0.147,4.456,0.558,0.4701850408760224,0.5506990529623421
Myo15b,-0.437,1.8,0.558,0.47021106061642537,0.5506990529623421
Cd24a,-0.443,4.502,0.56,0.47049411001171926,0.5509692321003028
Snx33,0.191,2.899,0.555,0.47109145994746426,0.5515865004649385
Hmg20a,-0.101,5.413,0.555,0.47112757717681586,0.5515865004649385
Slfn5,-0.142,5.957,0.555,0.47117847122297185,0.5515865004649385
Igsf11,-0.449,1.987,0.556,0.471476767000536,0.5518743069128632
Kdm5b,-0.181,3.544,0.553,0.4718522088575725,0.552210825235684
Zfp746,0.258,2.471,0.553,0.4718692141517885,0.552210825235684
Taf1b,0.116,4.905,0.552,0.4724293626687589,0.5528048686048427
Def6,-0.149,2.402,0.551,0.4726945180544543,0.5530536372567292
March1,0.098,7.089,0.55,0.4732283032893889,0.5536166131755687
Birc3,0.133,7.353,0.549,0.4734849215651379,0.5538552500700251
Daxx,0.096,6.684,0.549,0.47373474671378357,0.5540858885927692
Slc25a39,0.276,4.317,0.55,0.4738861396002767,0.5542013610817639
Pdcd5,-0.13,3.158,0.547,0.47433549634516803,0.5546652325858654
Tmem138,-0.174,3.307,0.547,0.47452211313155535,0.5548217996092618
Tob2_1,0.138,5.308,0.546,0.4749086194029114,0.5552039021923777
Ocrl,0.134,3.984,0.546,0.4749544357631649,0.5552039021923777
Zdhhc12,-0.136,4.834,0.545,0.4751297144357378,0.5553287079503935
Gclc,-0.194,4.051,0.545,0.4751667477321432,0.5553287079503935
Nup88,0.091,6.187,0.545,0.475295795801834,0.555417841113015
Nt5m,0.202,3.02,0.544,0.4754051568351474,0.5554839512964974
Bmpr2,0.127,5.47,0.544,0.47555909401791285,0.5556021257189405
Bbx,-0.14,5.662,0.544,0.47562800076994394,0.5556049093369222
Nucb1,0.136,6.497,0.544,0.4756670748091164,0.5556049093369222
Pomk,-0.138,5.286,0.54,0.4770317542503002,0.5571370865678035
Dnajc16,0.12,4.667,0.54,0.4771343106220274,0.5571950228249466
Mxi1,0.201,3.538,0.54,0.4773143527317285,0.5573434236347069
Mta2,-0.104,5.209,0.539,0.4774252551767604,0.5574110684816431
Ccdc77,-0.217,3.309,0.539,0.47765173572612474,0.5576136249219005
Hspa4l,-0.17,4.836,0.538,0.4780756026070798,0.5580465409023073
U2af1l4,0.099,5.005,0.536,0.47865812119865647,0.5586337561218044
Zfp653,-0.237,1.401,0.536,0.478684840725108,0.5586337561218044
Naprt1,-0.167,3.827,0.534,0.4793719396453888,0.5593735773883818
Cryab,-0.217,2.896,0.534,0.47968371904780727,0.5596753271471423
Dimt1,-0.136,3.077,0.533,0.4799157441594113,0.5598283689026051
Cul5,0.08,5.658,0.533,0.47992128821347535,0.5598283689026051
Cog1,-0.156,3.027,0.531,0.4807769497594072,0.5607643363243452
Ppil4,-0.089,6.17,0.53,0.4811458272428967,0.5610789725779679
Capn1,0.159,2.715,0.53,0.4811533449152886,0.5610789725779679
Triobp,-0.174,2.997,0.53,0.48127746660861515,0.5611010313096113
Polr2a,0.102,5.905,0.53,0.4812789041718666,0.5611010313096113
Tex261,0.08,6.507,0.525,0.4833244512130903,0.5634234186457682
Prmt3,-0.202,2.548,0.524,0.48361865840626994,0.5637039369084159
Arsg,0.381,1.938,0.524,0.4838318980378995,0.5638900280266714
Ppdpf,0.129,3.635,0.522,0.48446086989809267,0.5645605463939789
Gsdmd,-0.127,7.261,0.521,0.48492095970622784,0.5650341334280407
B230219D22Rik,-0.092,5.005,0.52,0.48514299303598074,0.5652302608190463
Slx4,-0.138,4.085,0.517,0.48632125070168286,0.5665402990295371
Ifitm3,0.209,8.898,0.518,0.48657803725517046,0.5667766975908964
AU019823,0.144,4.098,0.515,0.4871266093496298,0.5673101755326304
Rhbdd3,-0.25,2.71,0.515,0.4871438511938466,0.5673101755326304
Tmem69,-0.124,3.879,0.515,0.48732957178818426,0.5674636587282353
Slc25a53,0.265,2.378,0.513,0.4880265494670635,0.5682123677851193
Lmbrd2,0.183,3.173,0.512,0.48841480072555143,0.5686014988422367
Lst1,-0.15,6.659,0.512,0.48856352801143177,0.5687117262460505
Dak,-0.266,4.069,0.512,0.48888646285661075,0.5690193916999883
Kdm7a,-0.204,2.203,0.511,0.48893598211073785,0.5690193916999883
Ap2b1,0.135,6.633,0.51,0.4891895736271429,0.5692515628970943
Dse,-0.095,6.773,0.51,0.4895138762417335,0.5695659575068289
Sacs,-0.293,1.812,0.509,0.48971357382341574,0.5696903445919099
Usb1,0.121,5.561,0.509,0.48972905608461637,0.5696903445919099
Nipsnap3b,0.159,5.746,0.508,0.4900680606010841,0.5700216869354712
Bbs7,0.13,3.035,0.507,0.4905593435682931,0.5705300588383232
Zfp944,-0.12,4.073,0.507,0.4908208089698244,0.570771065619346
Nup35,-0.171,1.889,0.506,0.4910261772530894,0.5709467915175978
Eps15l1,-0.096,5.843,0.505,0.49142198827218353,0.5713369924476933
Vegfa,-0.433,1.518,0.506,0.49152037772409685,0.5713369924476933
Rgs10,-0.093,7.251,0.505,0.4915246405615289,0.5713369924476933
Ccdc55,0.115,5.865,0.504,0.49203790988861806,0.5718704358027311
Agfg2,0.185,3.315,0.503,0.49218006293764494,0.5719724795464205
Kifap3,-0.169,3.5,0.503,0.49248622163978206,0.5722650740189297
Elovl6,-0.188,3.719,0.501,0.49324487778432635,0.5730833442557652
Vkorc1,0.135,2.34,0.5,0.493563170465284,0.5733584736924632
Kif24,0.279,1.387,0.5,0.49359065030694893,0.5733584736924632
Sh3bp5,-0.218,3.218,0.5,0.4936851889884095,0.5734049937886351
Nckap1l,0.096,9.208,0.499,0.4941928975349552,0.5739313387882501
Lpgat1,-0.136,5.307,0.498,0.49438469974536947,0.5740907300177138
Phc1,-0.296,2.661,0.497,0.4947685693187134,0.5744730944434316
Fam172a,-0.109,4.947,0.497,0.49491307342521584,0.5745774792203824
Rxrb,-0.104,5.02,0.496,0.4951310817754072,0.5747671675149046
Isca2,0.085,5.534,0.496,0.4952136276404695,0.5747995812553123
Vps26b,0.133,3.372,0.495,0.49578455454292025,0.5752885875396561
Abl2,-0.236,4.442,0.496,0.49578482023814086,0.5752885875396561
1600020E01Rik,-0.188,2.38,0.495,0.4957989357024747,0.5752885875396561
2010315B03Rik,-0.14,5.004,0.493,0.49637773659281303,0.5758966838110443
Wbscr16,-0.158,1.703,0.493,0.49659296250800256,0.5760828733846005
Mbp,-0.113,5.277,0.492,0.4968851100356114,0.5763582465723919
Wdr5,-0.148,3.419,0.491,0.4973520432345987,0.5768362780731492
Susd1,0.362,2.549,0.492,0.4975456495631153,0.576876963742513
Pak4,-0.086,4.99,0.491,0.4975507152034596,0.576876963742513
Tmx3,-0.086,7.04,0.491,0.49757477514345827,0.576876963742513
Endod1,-0.107,4.132,0.491,0.4976064050072023,0.576876963742513
Arl5b,0.186,2.582,0.49,0.49768509754948875,0.5769046355489392
Dclre1a,0.111,4.277,0.49,0.4977937034463318,0.5769669722839245
Tubd1,0.28,2.323,0.489,0.4983988104022513,0.5776047006456928
Tmem218,0.121,3.304,0.488,0.4985857458881159,0.5777577143465086
Syne4,-0.413,2.169,0.489,0.4986651116991946,0.5777803891181139
Edem1,0.096,6.163,0.488,0.4987151263289773,0.5777803891181139
Trim27,0.17,3.214,0.486,0.4993564267501096,0.5784596740083007
Vps45,-0.144,4.922,0.486,0.4996406402501785,0.5787041697262844
Fbxo36,0.332,1.771,0.486,0.49967747658776196,0.5787041697262844
Akirin2,-0.131,3.45,0.485,0.4997981600915554,0.5787802397538724
Flad1,-0.081,5.715,0.485,0.4999289618634476,0.5788680089886729
Raf1,0.091,5.651,0.484,0.5003570295157341,0.5792999253596732
Zxdb,-0.25,1.328,0.483,0.5008544653153532,0.579812050441525
E4f1,-0.146,2.973,0.482,0.5012470065281802,0.5801499552573394
Klhl2,0.207,2.53,0.482,0.5012566181887037,0.5801499552573394
Sell,-0.509,1.944,0.484,0.5015107311292919,0.5803802291513844
Ankrd52,-0.287,1.551,0.48,0.5019807049498444,0.5808136096856259
Mpc1,0.15,3.172,0.48,0.5019956077250562,0.5808136096856259
Tmem219,0.089,6.176,0.48,0.5023779449706779,0.581192075079864
Arid1b,-0.094,5.916,0.479,0.5024558103005874,0.5812182578644698
Yars2,-0.229,2.0,0.479,0.5027552514345413,0.5815007156348294
Lmf1,-0.096,5.521,0.478,0.5029363942946274,0.5816462992814996
Tmem68,-0.122,6.481,0.478,0.5031245284120958,0.5817955637651384
Mboat1,0.29,1.405,0.478,0.5032014864105706,0.5817955637651384
Ppara,-0.717,1.447,0.48,0.5032313238991057,0.5817955637651384
Map2k7,0.168,3.358,0.477,0.503705468118715,0.5822205354135758
Tbccd1,0.113,4.551,0.476,0.5037095651815255,0.5822205354135758
Ext2,-0.169,3.665,0.476,0.5040593417040291,0.58256084049989
Slc35e4,-0.221,1.932,0.475,0.5043823981866181,0.5828701928528204
Rnf19a,-0.184,3.389,0.473,0.5051835390229201,0.5837318964684516
Ndufaf4,0.118,4.559,0.473,0.5052728855856927,0.5837710337086347
Utp11l,-0.078,6.118,0.472,0.505704659851,0.5842057454838152
Chd7,-0.093,5.025,0.471,0.5060177331644349,0.5845032498451534
BC024978,-0.17,2.19,0.471,0.5062993244070837,0.5847643278164572
Gtl3,-0.168,3.595,0.47,0.5064911194831427,0.5849190013936271
Gmpr,0.275,2.304,0.47,0.5065444131616577,0.5849190013936271
Zfp207,-0.09,8.026,0.47,0.5067281650964494,0.5850669828077614
Gcsh,-0.193,3.789,0.469,0.5069516152685338,0.5852607622019508
Qser1,-0.153,3.62,0.469,0.5070620847690763,0.5853240805205123
Cox20,-0.099,3.449,0.468,0.507336131203195,0.5855761882912385
Lims2,-0.391,1.315,0.465,0.5086301566873273,0.5870053892104349
Dcaf4,0.107,4.272,0.464,0.509141236581588,0.5875307854532351
Prpf4,0.105,5.099,0.462,0.5100906952142032,0.5885618844012128
Foxn3,-0.115,6.35,0.461,0.5103799810904807,0.5888086933867713
G530011O06Rik,-0.131,3.432,0.461,0.5104165068016847,0.5888086933867713
Papss1,0.122,6.212,0.461,0.5105651570430093,0.5889156141141715
Rnf13,-0.101,8.892,0.461,0.5106222436649261,0.588916908163746
Prpf6,0.074,6.522,0.461,0.5107764422767966,0.5890008462693372
Calcoco1,-0.125,5.903,0.461,0.5108069678850111,0.5890008462693372
Pgm3,0.126,4.196,0.46,0.5108656200352707,0.5890039355353516
Ndufb9,-0.157,6.626,0.46,0.5109972922864574,0.5890912036295346
Rbm28,0.138,5.754,0.458,0.5117736627362333,0.5899215963384141
Atad5,-0.226,2.538,0.458,0.5120829491211992,0.5902134582258903
Gm13157,0.124,5.078,0.457,0.5124573802812986,0.5905803321323081
Med14,-0.114,4.558,0.456,0.5127337522644302,0.5908341299910861
Phf3,-0.098,5.003,0.456,0.5128585534604337,0.5909132331177208
Rrbp1,0.111,8.283,0.454,0.5136724352169197,0.5917861874083256
Nr1d1,-0.371,2.544,0.455,0.513737644515631,0.5917965225219469
Kcnj10,0.141,5.383,0.454,0.5139164973960704,0.5919377519810473
Mkln1,-0.086,7.301,0.453,0.5141090050104047,0.5920946765595368
Smc1a,0.093,7.174,0.452,0.5145234246068908,0.5924822092397223
Atad2b,-0.146,2.451,0.452,0.5145581022751897,0.5924822092397223
Mbnl1,0.128,9.86,0.451,0.515230923560107,0.5931636114001511
Armc8,-0.085,5.32,0.451,0.5152626220477792,0.5931636114001511
March2,0.11,3.424,0.45,0.5156496802523471,0.5935307013221717
Mrps27,0.133,4.961,0.45,0.5156943079149117,0.5935307013221717
Chd1,-0.093,5.519,0.449,0.5158705037824817,0.5936685598537899
Aacs,-0.276,3.179,0.449,0.5161191337636293,0.5938897369704397
Nckipsd,-0.157,3.572,0.449,0.5162567950934769,0.593950949868703
Ltc4s,0.286,2.145,0.448,0.5162852169960113,0.593950949868703
Bcl2l13,-0.143,4.266,0.445,0.5180386387875191,0.5959029947486952
Lfng,-0.115,3.455,0.443,0.5187034830382744,0.596602552411385
Fkbp15,0.074,7.05,0.443,0.5188256468023889,0.5966778449509877
Pdp1,-0.144,3.012,0.442,0.5193841310122238,0.5972547974047436
Nrbp1,0.075,7.035,0.442,0.51948771953431,0.5972547974047436
Ppif,0.242,1.957,0.442,0.5194975920028146,0.5972547974047436
Mipep,-0.2,1.837,0.441,0.519592316581228,0.5972905818261725
Slc2a8,-0.216,1.801,0.441,0.5196422385839218,0.5972905818261725
Slc22a1,-0.382,4.075,0.442,0.5204638932103076,0.5981696754316369
Ficd,-0.22,2.544,0.439,0.5207636015754208,0.5984487691796607
Rbm33,-0.15,4.671,0.437,0.5215534790916064,0.599291030845269
Mars2,-0.297,1.374,0.435,0.5224982852021958,0.6003111098572667
Cul1,-0.096,6.023,0.433,0.5233519556400199,0.601226269563311
Bcl2l12,0.146,2.793,0.432,0.5238695431629438,0.6017450374263111
AI837181,0.098,3.529,0.432,0.5239178972631249,0.6017450374263111
Vav1,-0.123,8.416,0.432,0.524140472944139,0.6019349772772208
Ganab,-0.072,6.756,0.431,0.5244262611918734,0.6021974625187783
Tmub1,-0.106,4.507,0.43,0.5246977733704041,0.6023373542412336
Mfap1a,-0.079,4.398,0.43,0.5247038368819723,0.6023373542412336
Ier5,0.217,4.783,0.432,0.5247198067404151,0.6023373542412336
Cerkl,0.187,1.43,0.43,0.5248005191322678,0.6023642956837756
Rab3gap1,-0.063,5.687,0.43,0.5249383630077058,0.6024567994252469
Nck2,0.29,1.851,0.429,0.5252285222606319,0.6027240719464154
Gaa,0.078,7.26,0.429,0.5253402972030902,0.6027866042381549
Hectd3,-0.168,3.608,0.427,0.5260878495792727,0.6035094095383817
Ide,0.175,4.305,0.427,0.5261419014878388,0.6035094095383817
Negr1,0.362,1.995,0.428,0.5261422905164985,0.6035094095383817
Nthl1,-0.155,2.181,0.427,0.5263045429865985,0.6036297227082262
Gm13251,-0.19,1.434,0.427,0.5265390182700431,0.6038328344873216
Cables2,-0.145,2.689,0.426,0.5266431439487189,0.6038864338860597
S100a1,-0.126,6.611,0.426,0.5269057526411876,0.6041217296843775
Dlat,-0.225,3.351,0.425,0.5272131074240882,0.6044082720801482
Ints5,0.216,2.281,0.425,0.527336784832477,0.6044842033542653
Abcg2,-0.204,5.673,0.426,0.5274467736351518,0.6045444285984862
Dync1li1,0.1,5.504,0.423,0.5281561279198319,0.6052365259814197
Adal,-0.301,1.925,0.423,0.5281883769136015,0.6052365259814197
Traf6,-0.111,3.535,0.423,0.5282474191087355,0.6052365259814197
Wdr20,-0.115,4.195,0.423,0.5282806700693092,0.6052365259814197
Zcrb1,0.156,2.674,0.422,0.5285290090193497,0.6053919285364979
Prkd3,0.119,4.836,0.422,0.5285313738919326,0.6053919285364979
Casp9,-0.105,5.371,0.422,0.5289142514007894,0.6057645480507735
Cblb,0.184,3.495,0.421,0.5291123285681907,0.6059075013379752
Dcun1d3,0.173,2.56,0.421,0.5291542276248211,0.6059075013379752
Tnpo3,-0.059,6.388,0.42,0.5296677629389269,0.6064295364385082
Iqgap1,0.116,10.224,0.42,0.5297451657640233,0.6064521735568774
Dhx35,0.118,4.263,0.417,0.5310333325323227,0.6078607373259688
Ddit3,0.092,5.211,0.417,0.5312911831569533,0.6080594397311762
Cpsf2,-0.13,5.752,0.417,0.5313224886751083,0.6080594397311762
Osbpl2,0.141,3.714,0.414,0.5323458604961651,0.6091567599305977
Xiap,-0.094,5.746,0.414,0.5323971035903932,0.6091567599305977
Lmnb2,0.232,1.872,0.414,0.5325884917561396,0.6093094910578232
Mrps26,0.186,1.551,0.414,0.5327654312798797,0.6094302822783276
Appl1,0.074,5.082,0.414,0.5328099018303349,0.6094302822783276
E2f4,-0.114,3.519,0.413,0.533110332720649,0.6096913782760252
Adprm,0.114,4.43,0.413,0.5331747531518908,0.6096913782760252
